crossover: 0.800 mutation: 0.025 population: 40
Generation,Max,Total,Average
1,4,28,0.700
2,4,51,1.275
3,5,74,1.850
4,5,111,2.775
5,5,120,3.000
6,6,129,3.225
7,6,141,3.525
8,6,152,3.800
9,6,158,3.950
10,6,167,4.175
11,7,185,4.625
12,7,198,4.950
13,7,195,4.875
14,7,202,5.050
15,7,207,5.175
16,8,221,5.525
17,8,217,5.425
18,8,230,5.750
19,9,242,6.050
20,9,259,6.475
21,9,241,6.025
22,10,250,6.250
23,10,261,6.525
24,11,281,7.025
25,11,302,7.550
26,11,313,7.825
27,11,301,7.525
28,11,315,7.875
29,11,335,8.375
30,12,328,8.200
31,12,328,8.200
32,12,319,7.975
33,12,348,8.700
34,12,358,8.950
35,13,363,9.075
36,13,374,9.350
37,13,391,9.775
38,13,385,9.625
39,13,381,9.525
40,13,384,9.600
41,13,372,9.300
42,14,371,9.275
43,14,376,9.400
44,14,397,9.925
45,14,403,10.075
46,15,416,10.400
47,15,420,10.500
48,15,438,10.950
49,15,436,10.900
50,15,430,10.750
51,15,416,10.400
52,15,432,10.800
53,16,462,11.550
54,16,461,11.525
55,16,465,11.625
56,16,462,11.550
57,16,481,12.025
58,16,461,11.525
59,16,463,11.575
60,16,460,11.500
61,16,457,11.425
62,16,464,11.600
63,16,443,11.075
64,16,464,11.600
65,16,445,11.125
66,16,472,11.800
67,17,499,12.475
68,17,487,12.175
69,17,511,12.775
70,17,510,12.750
71,17,493,12.325
72,17,478,11.950
73,17,486,12.150
74,17,476,11.900
75,17,487,12.175
76,17,498,12.450
77,17,483,12.075
78,17,478,11.950
79,17,476,11.900
80,17,458,11.450
81,17,462,11.550
82,17,469,11.725
83,17,483,12.075
84,17,480,12.000
85,17,463,11.575
86,17,480,12.000
87,17,487,12.175
88,17,500,12.500
89,17,499,12.475
90,17,518,12.950
91,17,518,12.950
92,17,526,13.150
93,17,523,13.075
94,17,514,12.850
95,17,520,13.000
96,17,506,12.650
97,17,505,12.625
98,17,514,12.850
99,17,512,12.800
100,17,511,12.775
101,17,513,12.825
102,17,511,12.775
103,17,518,12.950
104,17,521,13.025
105,17,505,12.625
106,17,525,13.125
107,17,504,12.600
108,17,508,12.700
109,17,489,12.225
110,17,463,11.575
111,17,504,12.600
112,17,511,12.775
113,17,488,12.200
114,17,483,12.075
115,17,478,11.950
116,17,478,11.950
117,17,494,12.350
118,17,506,12.650
119,17,507,12.675
120,17,501,12.525
121,17,506,12.650
122,17,498,12.450
123,17,505,12.625
124,17,493,12.325
125,17,481,12.025
126,17,491,12.275
127,17,468,11.700
128,17,488,12.200
129,17,489,12.225
130,17,483,12.075
131,17,502,12.550
132,17,482,12.050
133,17,486,12.150
134,17,495,12.375
135,17,482,12.050
136,17,513,12.825
137,17,496,12.400
138,17,487,12.175
139,17,501,12.525
140,17,492,12.300
141,17,500,12.500
142,17,515,12.875
143,17,496,12.400
144,17,511,12.775
145,17,500,12.500
146,17,510,12.750
147,17,500,12.500
148,17,516,12.900
149,17,532,13.300
150,17,523,13.075
151,17,523,13.075
152,17,512,12.800
153,17,502,12.550
154,17,506,12.650
155,17,500,12.500
156,17,479,11.975
157,17,470,11.750
158,17,467,11.675
159,17,474,11.850
160,17,487,12.175
161,17,502,12.550
162,17,490,12.250
163,17,503,12.575
164,17,491,12.275
165,17,504,12.600
166,17,521,13.025
167,17,537,13.425
168,17,523,13.075
169,17,507,12.675
170,17,526,13.150
171,17,512,12.800
172,17,537,13.425
173,17,537,13.425
174,17,535,13.375
175,17,553,13.825
176,17,520,13.000
177,17,533,13.325
178,17,524,13.100
179,18,546,13.650
180,18,530,13.250
181,18,541,13.525
182,18,551,13.775
183,18,546,13.650
184,18,547,13.675
185,19,580,14.500
186,19,583,14.575
187,19,589,14.725
188,19,563,14.075
189,19,542,13.550
190,19,560,14.000
191,19,529,13.225
192,20,544,13.600
193,20,560,14.000
194,20,554,13.850
195,20,560,14.000
196,20,581,14.525
197,20,588,14.700
198,20,593,14.825
199,20,598,14.950
200,20,602,15.050
201,20,602,15.050
202,20,607,15.175
203,20,605,15.125
204,20,624,15.600
205,20,631,15.775
206,20,614,15.350
207,20,608,15.200
208,20,613,15.325
209,20,616,15.400
210,20,588,14.700
211,20,577,14.425
212,20,580,14.500
213,20,588,14.700
214,20,588,14.700
215,20,573,14.325
216,20,593,14.825
217,20,601,15.025
218,20,617,15.425
219,20,621,15.525
220,20,601,15.025
221,20,599,14.975
222,20,607,15.175
223,20,577,14.425
224,20,573,14.325
225,20,583,14.575
226,20,585,14.625
227,20,576,14.400
228,20,602,15.050
229,20,595,14.875
230,20,598,14.950
231,20,609,15.225
232,20,606,15.150
233,20,612,15.300
234,20,627,15.675
235,20,603,15.075
236,20,598,14.950
237,20,590,14.750
238,20,578,14.450
239,20,598,14.950
240,20,582,14.550
241,20,560,14.000
242,20,566,14.150
243,20,560,14.000
244,20,593,14.825
245,20,595,14.875
246,20,595,14.875
247,20,600,15.000
248,20,607,15.175
249,20,594,14.850
250,20,599,14.975
